UAV_ID,Priority,Time_To_Goal,
0,3,1565,240.719450579649
1,3,479,158.769766820638
2,3,575,147.419209593033
3,3,360,118.438942483704
4,3,643,217.321957606911
5,3,467,149.986699655407
6,3,635,214.124869640824
7,3,278,95.2464497872241
8,3,808,132.12439263418
9,3,285,95.0478897971279
10,3,396,129.341595464428
11,3,284,95.6959880593155
12,3,309,105.379232001962
13,3,278,94.8816880626741
14,3,287,98.1197352153766
15,3,282,95.1579318920998
16,3,421,138.701505239806
17,3,300,101.730846117682
18,3,279,95.7448746851955
19,3,311,106.358573264231
20,3,548,183.544121056448
21,3,277,94.2276836886136
22,3,290,97.6377814326969
23,3,431,142.44118987569
24,3,281,95.3154925549624
25,3,277,94.6434614126905
26,3,276,94.2954905136457
27,3,281,94.5056336231606
28,3,289,98.6399013087194
29,3,447,147.610820240274
30,3,291,99.127682031791
31,3,452,148.88014121786
,,,In [12]:
