Time_To_Goal,UAV_ID,
828,0,289.121798601811
799,1,278.971714486418
792,2,276.52905146522
831,3,290.169462025489
825,4,288.089299299755
722,5,252.024669499695
1193,6,416.888757705293
1410,7,492.933460636669
726,8,253.442078720269
1043,9,364.37623635758
767,10,267.788711491394
1423,11,497.442036874069
848,12,296.142338349155
813,13,283.878606376691
833,14,290.878885920232
775,15,270.583800813177
1056,16,368.927307900838
1094,17,382.22032402839
1153,18,403.024431244107
735,19,256.570257857023
1752,20,612.70077509765
1188,21,415.20519511034
1154,22,403.365230620394
709,23,247.528880796285
1139,24,397.979257864645
1264,25,441.762666867323
1245,26,435.085574516679
714,27,249.238211043886
275,28,95.5528543204334
1185,29,414.135092108413
894,30,312.202854325476
768,31,268.182052277803
693,32,241.8977066379
1222,33,427.041415414138
1228,34,429.157498761566
734,35,256.279749574806
